id,repository_name,date(YYY-MM-DDThh-mm-ss),run_time(second),count_files,loc
allinurl/goaccess,allinurl/goaccess,2023-11-21T21-24-04,8.035593638000137,72,37482
alols/xcape,alols/xcape,2023-11-21T21-24-12,0.1128187079998497,1,594
altdesktop/playerctl,altdesktop/playerctl,2023-11-21T21-24-12,0.7905678879999414,14,7048
AltraMayor/f3,AltraMayor/f3,2023-11-21T21-24-13,1.4124655769999208,16,5714
amadvance/snapraid,amadvance/snapraid,2023-11-21T21-24-14,8.76951953300022,90,63101
amnezia-vpn/amnezia-client,amnezia-vpn/amnezia-client,2023-11-21T21-24-23,65.20038065599988,1191,204048
andlabs/libui,andlabs/libui,2023-11-21T21-25-28,13.368341999999984,141,23480
andmarti1424/sc-im,andmarti1424/sc-im,2023-11-21T21-25-41,9.52392818699991,105,33111
andrewrk/libsoundio,andrewrk/libsoundio,2023-11-21T21-25-51,2.9694282929999645,35,15293
ands/lightmapper,ands/lightmapper,2023-11-21T21-25-54,0.2350267389999771,2,2318
answer-huang/dSYMTools,answer-huang/dSYMTools,2023-11-21T21-25-54,0.6387847319999764,10,2720
antirez/dump1090,antirez/dump1090,2023-11-21T21-25-55,0.3968806029999996,3,3100
antirez/hping,antirez/hping,2023-11-21T21-25-55,5.923313989999997,73,15151
antirez/kilo,antirez/kilo,2023-11-21T21-26-01,0.1266787419999673,1,1308
antirez/linenoise,antirez/linenoise,2023-11-21T21-26-01,0.2585115490001044,3,1585
antirez/neural-redis,antirez/neural-redis,2023-11-21T21-26-02,1.149071941999864,7,2920
antirez/sds,antirez/sds,2023-11-21T21-26-03,0.3766116150000016,4,1701
antirez/smallchat,antirez/smallchat,2023-11-21T21-26-03,0.3145463850000851,4,706
apache/age,apache/age,2023-11-21T21-26-03,4.76754228499999,98,48194
apache/guacamole-server,apache/guacamole-server,2023-11-21T21-26-08,29.25951976800002,470,91470
apple/cups,apple/cups,2023-11-21T21-26-37,26.903684398,276,245628
apple/darwin-xnu,apple/darwin-xnu,2023-11-21T21-27-04,171.57297767700015,2937,1632389
apple/HomeKitADK,apple/HomeKitADK,2023-11-21T21-29-56,22.363974838999862,282,82199
archagon/sensible-side-buttons,archagon/sensible-side-buttons,2023-11-21T21-30-18,0.2307691450000675,5,866
ardagnir/athame,ardagnir/athame,2023-11-21T21-30-18,0.4140046009999878,5,2114
ardera/flutter-pi,ardera/flutter-pi,2023-11-21T21-30-19,9.749812669999985,92,41800
arjun024/mkernel,arjun024/mkernel,2023-11-21T21-30-29,0.0458614449999004,1,40
arkdb/inception,arkdb/inception,2023-11-21T21-30-29,51.83298552399992,759,571526
armink/EasyFlash,armink/EasyFlash,2023-11-21T21-31-21,27.49058641300008,523,353527
armink/EasyLogger,armink/EasyLogger,2023-11-21T21-31-48,23.518161168999995,423,327553
armink/FreeModbus_Slave-Master-RTT-STM32,armink/FreeModbus_Slave-Master-RTT-STM32,2023-11-21T21-32-12,24.57380918800004,479,174670
arut/nginx-rtmp-module,arut/nginx-rtmp-module,2023-11-21T21-32-36,4.820709822000026,51,31527
ashima/webgl-noise,ashima/webgl-noise,2023-11-21T21-32-41,0.7189276490000793,6,19205
atar-axis/xpadneo,atar-axis/xpadneo,2023-11-21T21-32-42,0.420956108999917,7,1818
atc1441/ATC_MiThermometer,atc1441/ATC_MiThermometer,2023-11-21T21-32-42,0.8793805650000195,18,1344
attractivechaos/klib,attractivechaos/klib,2023-11-21T21-32-43,4.79017821399998,64,12407
audacity/audacity,audacity/audacity,2023-11-21T21-32-48,99.38273697299996,1619,581702
Awesome-HarmonyOS/HarmonyOS,Awesome-HarmonyOS/HarmonyOS,2023-11-21T21-34-27,74.82995430900019,1347,808437
aws/amazon-freertos,aws/amazon-freertos,2023-11-21T21-35-42,380.857966043,7289,3835780
axboe/fio,axboe/fio,2023-11-21T21-42-03,40.90277389999983,365,106770
axboe/liburing,axboe/liburing,2023-11-21T21-42-44,19.61337645499998,201,47310
axel-download-accelerator/axel,axel-download-accelerator/axel,2023-11-21T21-43-03,2.700766987999941,32,5714
B-Con/crypto-algorithms,B-Con/crypto-algorithms,2023-11-21T21-43-06,1.8467208129995925,30,3673
b4winckler/macvim,b4winckler/macvim,2023-11-21T21-43-08,21.34908880999956,230,417771
baidu/dperf,baidu/dperf,2023-11-21T21-43-29,7.4675115929999265,72,13021
bake-bake-bake/bakeware,bake-bake-bake/bakeware,2023-11-21T21-43-37,3.4647405850000723,43,14769
basil00/Divert,basil00/Divert,2023-11-21T21-43-40,1.357673257999977,17,19339
baskerville/bspwm,baskerville/bspwm,2023-11-21T21-43-42,3.415536417000112,44,14744
baskerville/sxhkd,baskerville/sxhkd,2023-11-21T21-43-45,0.7846538740000142,11,4119
beanstalkd/beanstalkd,beanstalkd/beanstalkd,2023-11-21T21-43-46,2.379678424999838,27,9350
begeekmyfriend/bplustree,begeekmyfriend/bplustree,2023-11-21T21-43-48,0.3389194650003446,4,1758
begeekmyfriend/yasea,begeekmyfriend/yasea,2023-11-21T21-43-48,15.785996337000142,172,93025
betaflight/betaflight,betaflight/betaflight,2023-11-21T21-44-04,176.63201992099994,3172,2841063
bilibili/ijkplayer,bilibili/ijkplayer,2023-11-21T21-47-01,16.121470298000077,251,43237
bingoogolapple/BGAQRCode-Android,bingoogolapple/BGAQRCode-Android,2023-11-21T21-47-17,41.45237443699989,462,172169
bitnine-oss/agensgraph,bitnine-oss/agensgraph,2023-11-21T21-47-58,116.706627131,2089,1380925
blackmagic-debug/blackmagic,blackmagic-debug/blackmagic,2023-11-21T21-49-55,13.679060076000042,246,62510
blinker-iot/blinker-nRF52,blinker-iot/blinker-nRF52,2023-11-21T21-50-09,1.038164354999935,14,15820
bol-van/zapret,bol-van/zapret,2023-11-21T21-50-10,7.160763647000294,76,20849
bootchk/resynthesizer,bootchk/resynthesizer,2023-11-21T21-50-17,2.297749210999882,41,7554
bootleg/ret-sync,bootleg/ret-sync,2023-11-21T21-50-19,1.4416214480002054,23,11778
brendan-rius/c-jwt-cracker,brendan-rius/c-jwt-cracker,2023-11-21T21-50-21,0.1924890079999386,3,579
brunodev85/winlator,brunodev85/winlator,2023-11-21T21-50-21,0.2638581420001173,3,727
buaazp/zimg,buaazp/zimg,2023-11-21T21-50-21,3.770262994999939,42,16983
Bumblebee-Project/Bumblebee,Bumblebee-Project/Bumblebee,2023-11-21T21-50-25,1.739136081000197,24,4335
bytecode77/r77-rootkit,bytecode77/r77-rootkit,2023-11-21T21-50-27,1.7683959780001717,35,6519
bytedance/bhook,bytedance/bhook,2023-11-21T21-50-28,3.988097063000168,51,13753
bztsrc/raspi3-tutorial,bztsrc/raspi3-tutorial,2023-11-21T21-50-32,8.011896607999915,166,14390
c-ares/c-ares,c-ares/c-ares,2023-11-21T21-50-40,10.187697601000307,117,68896
c9s/Pux,c9s/Pux,2023-11-21T21-50-51,1.4533107960000962,22,11155
CameraKit/camerakit-android,CameraKit/camerakit-android,2023-11-21T21-50-52,1.20178355500002,23,6534
canonical/dqlite,canonical/dqlite,2023-11-21T21-50-53,13.5280887240001,131,34513
capstone-engine/capstone,capstone-engine/capstone,2023-11-21T21-51-07,15.184772707999857,213,80699
cbsheng/tinyhttpd,cbsheng/tinyhttpd,2023-11-21T21-51-22,0.3009684710000329,2,647
cc65/cc65,cc65/cc65,2023-11-21T21-51-22,71.26620866899975,1247,251867
cesanta/mjs,cesanta/mjs,2023-11-21T21-12-05,11.563609072000077,154,53111
cesanta/mongoose,cesanta/mongoose,2023-11-21T21-12-17,129.29023942899994,2299,1603109
cesanta/v7,cesanta/v7,2023-11-21T21-14-26,4.149618584999985,31,44396
cgdb/cgdb,cgdb/cgdb,2023-11-21T21-14-30,3.1751093509999464,48,22581
checkpoint-restore/criu,checkpoint-restore/criu,2023-11-21T21-14-33,81.89479889199993,1124,178794
checkra1n/PongoOS,checkra1n/PongoOS,2023-11-21T21-15-55,9.127580111000045,164,52888
chenyahui/AnnotatedCode,chenyahui/AnnotatedCode,2023-11-21T21-16-04,41.615942572,523,222651
chjj/compton,chjj/compton,2023-11-21T21-16-46,1.7427862749999576,11,17024
chobits/ngx_http_proxy_connect_module,chobits/ngx_http_proxy_connect_module,2023-11-21T21-16-48,0.0904430220000449,1,2386
chocolate-doom/chocolate-doom,chocolate-doom/chocolate-doom,2023-11-21T21-16-48,44.192509633999975,568,316981
ChristopheJacquet/PiFmRds,ChristopheJacquet/PiFmRds,2023-11-21T21-17-32,0.8869178470000634,12,1754
cilium/pwru,cilium/pwru,2023-11-21T21-17-33,14.72826464500008,175,308774
Cisco-Talos/clamav,Cisco-Talos/clamav,2023-11-21T21-17-48,55.34534063600006,591,249483
citusdata/cstore_fdw,citusdata/cstore_fdw,2023-11-21T21-18-43,0.4457382510001935,8,6049
citusdata/pg_cron,citusdata/pg_cron,2023-11-21T21-18-43,0.6603925760000493,12,5570
civetweb/civetweb,civetweb/civetweb,2023-11-21T21-18-44,86.69910192800012,602,953298
cjdelisle/cjdns,cjdelisle/cjdns,2023-11-21T21-20-11,54.51621957800012,957,138762
cleanflight/cleanflight,cleanflight/cleanflight,2023-11-21T21-21-05,169.87799864499993,3280,2834608
clibs/clib,clibs/clib,2023-11-21T21-23-55,8.111084425999934,130,27467
cloudius-systems/osv,cloudius-systems/osv,2023-11-21T21-24-03,65.28663389500002,1118,320015
cloudwu/coroutine,cloudwu/coroutine,2023-11-21T21-25-09,0.2218044190001364,3,256
cloudwu/pbc,cloudwu/pbc,2023-11-21T21-25-09,2.679949254000121,37,8260
cnlohr/espusb,cnlohr/espusb,2023-11-21T21-25-11,1.2342718699999295,26,3014
cnlohr/rawdrawandroid,cnlohr/rawdrawandroid,2023-11-21T21-25-13,0.495223291000002,6,2078
cockpit-project/cockpit,cockpit-project/cockpit,2023-11-21T21-25-13,17.56065016399998,280,98333
